Argentina,"[-1, 2005]"
Argentina,"[-1, 2006]"
Argentina,"[3, 2007]"
Argentina,"[-1, 2008]"
Argentina,"[5, 2009]"
Argentina,"[-7, 2010]"
Argentina,"[-5, 2011]"
Argentina,"[3, 2012]"
Australia,"[2, 2005]"
Australia,"[4, 2006]"
Australia,"[-4, 2007]"
Australia,"[6, 2008]"
Australia,"[-2, 2009]"
Australia,"[6, 2010]"
Australia,"[-4, 2011]"
Australia,"[10, 2012]"
Brazil,"[14, 2005]"
Brazil,"[4, 2006]"
Brazil,"[8, 2007]"
Brazil,"[4, 2008]"
Brazil,"[6, 2009]"
Brazil,"[8, 2010]"
Brazil,"[6, 2011]"
Brazil,"[18, 2012]"
Canada,"[8, 2005]"
Canada,"[8, 2006]"
Canada,"[-4, 2007]"
Canada,"[-2, 2008]"
Canada,"[-4, 2009]"
Canada,"[2, 2010]"
Canada,"[2, 2011]"
Canada,"[0, 2012]"
China,"[11, 2005]"
China,"[5, 2006]"
China,"[7, 2007]"
China,"[-1, 2008]"
China,"[11, 2009]"
China,"[-1, 2010]"
China,"[1, 2011]"
China,"[11, 2012]"
Eurozone,"[4, 2005]"
Eurozone,"[8, 2006]"
Eurozone,"[-4, 2007]"
Eurozone,"[0, 2008]"
Eurozone,"[10, 2009]"
Eurozone,"[6, 2010]"
Eurozone,"[2, 2011]"
Eurozone,"[8, 2012]"
France,"[2, 2005]"
France,"[2, 2006]"
France,"[8, 2007]"
France,"[4, 2008]"
France,"[6, 2009]"
France,"[-4, 2010]"
France,"[-2, 2011]"
France,"[6, 2012]"
Germany,"[1, 2005]"
Germany,"[5, 2006]"
Germany,"[-5, 2007]"
Germany,"[1, 2008]"
Germany,"[-1, 2009]"
Germany,"[3, 2010]"
Germany,"[1, 2011]"
Germany,"[1, 2012]"
India,"[8, 2005]"
India,"[4, 2006]"
India,"[4, 2007]"
India,"[6, 2008]"
India,"[4, 2009]"
India,"[4, 2010]"
India,"[4, 2011]"
India,"[4, 2012]"
Indonesia,"[6, 2005]"
Indonesia,"[0, 2006]"
Indonesia,"[2, 2007]"
Indonesia,"[0, 2008]"
Indonesia,"[4, 2009]"
Indonesia,"[4, 2010]"
Indonesia,"[0, 2011]"
Indonesia,"[0, 2012]"
Italy,"[2, 2005]"
Italy,"[8, 2006]"
Italy,"[-4, 2007]"
Italy,"[6, 2008]"
Italy,"[4, 2009]"
Italy,"[6, 2010]"
Italy,"[0, 2011]"
Italy,"[10, 2012]"
Japan,"[3, 2005]"
Japan,"[3, 2006]"
Japan,"[1, 2007]"
Japan,"[-5, 2008]"
Japan,"[9, 2009]"
Japan,"[5, 2010]"
Japan,"[3, 2011]"
Japan,"[3, 2012]"
Mexico,"[6, 2005]"
Mexico,"[-4, 2006]"
Mexico,"[-4, 2007]"
Mexico,"[0, 2008]"
Mexico,"[0, 2009]"
Mexico,"[-2, 2010]"
Mexico,"[-4, 2011]"
Mexico,"[-4, 2012]"
Russia,"[7, 2005]"
Russia,"[11, 2006]"
Russia,"[5, 2007]"
Russia,"[3, 2008]"
Russia,"[5, 2009]"
Russia,"[-1, 2010]"
Russia,"[-1, 2011]"
Russia,"[5, 2012]"
South Africa,"[3, 2005]"
South Africa,"[5, 2006]"
South Africa,"[7, 2007]"
South Africa,"[5, 2008]"
South Africa,"[3, 2009]"
South Africa,"[5, 2010]"
South Africa,"[-1, 2011]"
South Africa,"[-3, 2012]"
South Korea,"[4, 2005]"
South Korea,"[0, 2006]"
South Korea,"[-4, 2007]"
South Korea,"[0, 2008]"
South Korea,"[-2, 2009]"
South Korea,"[8, 2010]"
South Korea,"[-2, 2011]"
South Korea,"[-2, 2012]"
Turkey,"[-3, 2005]"
Turkey,"[1, 2006]"
Turkey,"[-3, 2007]"
Turkey,"[-5, 2008]"
Turkey,"[-7, 2009]"
Turkey,"[-3, 2010]"
Turkey,"[-3, 2011]"
Turkey,"[-3, 2012]"
United Kingdom,"[7, 2005]"
United Kingdom,"[-1, 2006]"
United Kingdom,"[9, 2007]"
United Kingdom,"[3, 2008]"
United Kingdom,"[-3, 2009]"
United Kingdom,"[-1, 2010]"
United Kingdom,"[3, 2011]"
United Kingdom,"[5, 2012]"
United States,"[3, 2005]"
United States,"[11, 2006]"
United States,"[5, 2007]"
United States,"[-5, 2008]"
United States,"[-1, 2009]"
United States,"[3, 2010]"
United States,"[5, 2011]"
United States,"[9, 2012]"
